target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
5,95.9828250149008,601.905521648157,0.700886668315459,0.141315585049909,11,12,51.3784668827633,-1.7108755773103,3,28.2727903901677,39.6928491476683,16.5618901933002,16.4289209144053,7.72131027585627,1228311.99966822,280.723696921475,0.0018648911306889,233.793586423038,1998,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,101.651762932447,1484.91909149991,1.73186304682036,0.177701469684876,6,17,53.1747765402729,-1.84132752136874,3,-35833.6089796467,38.2910010498836,33.4867800604175,18.6424749761759,156.363179019482,-242395065.307063,284.948306093634,0.0744126471134343,287.424161639363,1995,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11.7996454857155,809.011725245866,1.44199843037422,0.0812749978813667,2,7,52.16616138752,-0.801422598987207,9,76.3087266239968,17.7370386704852,36.4905218281628,18.6419740457924,13.8262009837871,61661.3465290754,283.538580526471,0.0005007499907879,275.411915897302,1988,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14.9038368451991,223.039828513538,1.44274242602359,0.18816344321675,2,0,51.0986947496611,0.57894139401124,7,76.3438263672097,17.7491306969591,36.5098884017889,18.6421133322986,13.8021318798779,9927086.51185643,290.013337794834,0.0019266693394821,75.3870385630489,1991,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,150.184097639401,861.780962948836,1.44066318782175,0.0844327735038668,12,14,54.0034163231413,-1.1203327655252,8,76.3238164296576,17.7520208527704,36.484167540573,18.6401657732798,13.8408188121737,4297185.01981285,290.640133651058,0.0022668257902063,229.750899165131,1987,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,99.3202254946929,823.4158808781,2.71876298128968,0.2288034564918,5,19,52.1419414092189,-0.0648148199207765,3,92.0422366850697,17.7440578751959,36.5706322500784,18.6421700198202,31.64745547169,2970606.44689204,283.682280586784,0.0014146925077297,296.421326566243,1993,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,149.633842001382,362.163059183492,1.44097469377266,0.186828579292943,16,17,52.5978029795474,0.113762003086631,8,76.3345734391986,8.08628299952,36.4779123130253,18.5682165229781,13.8098807091492,3069721.38756997,292.286266049231,-0.0001914173116153,258.806318890651,1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,66.9318061325262,1010.67603380147,1.28136740809536,0.165628754308581,6,19,53.4825905040181,0.11218743686038,6,65.13782308995,-3.50068760535892,23.4263892061661,18.599290970749,14.5716128849715,4346311.4674114,292.80446147516,0.0009934971027724,256.343901083809,1989,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,241.95525525518,857.470875889491,0.925122611127568,0.135456072561006,28,10,51.8836726068851,1.60631562813833,7,83.4253714368612,39.2207959224835,29.7862363209962,18.6464393902026,27.4580458409416,4113967.703428,291.821740757465,0.0003745172509284,249.229422748086,1996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,167.688145094877,191.683425643885,2.13582262404282,0.245661488780773,14,5,53.7682132156468,-1.77992158783185,9,170.804725410579,46.3002706956778,21.7560405996918,18.6405700379556,8.49950004420334,-12822.724748494,284.064862478379,0.0003738685048629,264.594480293464,1997,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
