target,aceB,asnA,atpD,atpG,b1191,b1583,b1963,cchB,cspA,cspG,dnaG,dnaJ,dnaK,eutG,fixC,flgD,folK,ftsJ,gltA,hupB,ibpB,icdA,lacA,lacY,lpdA,mopB,nmpC,nuoM,pspA,pspB,sucA,sucD,tnaA,yaeM,yceP,ycgX,yecO,yedE,yfaD,yfiA,ygbD,ygcE,yhdM,yheI,yjbO
3,-1.86136033688492,3.86427029798055,-2.74431709093693,-1.03766934625264,1.72808161707927,2.17293271706225,2.3405418837799,2.85166022837262,-0.865291914653946,3.52788379319863,1.27774779729561,1.22491317760473,1.71080513534378,1.29223937936611,3.59379840459413,-0.596069061346843,2.03744607189315,2.99179462892962,0.153692220582474,-3.0339489103764,0.274508666266644,-1.6995903753838,1.41077032815337,0.0567975592739609,-3.55128219740751,2.87694865893151,-1.28695567786614,-1.9554896962488,2.67932991268241,3.96351714937995,-0.143005463610284,0.86904707112924,-2.54483382219973,4.05428233264551,-0.399873951641779,1.32065885486949,2.04370007911223,-3.04130776319941,1.15192980513583,-1.95484223775589,3.41043712309608,4.33625281028686,0.379628935679213,1.37616974350966,2.26799548314771
3,-1.71652310209666,2.05581956597741,-1.02345385336915,-2.66059848200681,1.06685272490553,3.2996378818057,1.2453346484535,1.17295417820959,2.35148512211503,1.48754333452639,1.48997429582624,1.06365775941597,-1.01299097668075,1.18572407854273,0.587623831549959,-3.27251241515867,1.28836213595561,0.672874284199483,-1.70494624446064,-0.464857740023908,1.35021507424945,-1.79338710961972,1.36980081193169,1.66895621460802,-0.696952157780978,-0.177565575227468,-0.799393422015456,-2.42549156277783,0.86346013956984,0.426846749987669,-1.34055322258226,-1.98282827626209,-1.26012749314929,3.7331774423847,1.78232514302176,1.26002226110936,1.424829869666,-0.139265369433602,1.38211249965667,0.549490120601703,0.392992970225594,2.344590615502,0.797924416150053,0.817537573236474,2.80296331783583
8,-3.46056437847976,3.28540907235212,-2.55621026866268,-1.4158013979091,2.05475204985306,2.87516037799457,3.24230492936331,1.77207570442684,1.45845327438131,2.00750305031126,2.02036156716902,-1.31905574684954,1.71772302086852,1.32928413588311,0.61301158546756,-1.2741843514018,2.52882576221661,3.09700573386793,-1.13584010515392,-0.565242946612671,2.65946818839054,-3.02521641899811,2.18189869941193,1.85890399991657,-1.25927958982331,2.52073873091536,-1.44267078039941,-3.09988654970603,1.79900442715688,1.52960980209733,0.227888027183896,-0.981180779392866,-2.03952120402243,4.24763601627838,1.07983145027311,2.1930600074784,1.7437962632469,-1.24119743781455,0.453453512393293,0.155667811639143,1.11702351137214,3.72152043123039,-0.0949744038728089,2.01498955310495,3.93263705062888
5,-3.55294651434802,3.7847606111701,-3.64977620714696,-2.08322210614554,2.25218188327889,1.40410215241409,4.77808982538963,2.37509422166205,-0.82325354469025,2.35403387166058,3.08734333495373,1.56621568179564,2.52253535681913,2.08295443546127,1.53339644459274,-2.72092698767398,2.91564796878966,3.59698160447676,-1.18305926851543,-3.76849993261764,1.63501075810812,-3.27503177010903,1.59117734502197,0.714822613078277,-1.72616392720251,3.00243121427393,-1.61800951685652,-1.21260122130069,1.99252886149064,3.02363590757226,-1.4236254972541,-0.704580443489443,-2.08126545236476,2.87678853799239,1.49816416767975,2.91021469871038,2.071885107047,-1.8853767681549,1.66160364768829,-2.01902763059967,3.19122729507225,4.55861649544075,1.1944145845715,2.74187972930568,1.77710366924621
7,-0.862481819159877,0.417193333972499,-0.594703616756203,-1.83478201203649,0.0459688965740253,4.15021117153394,1.35278488396779,0.0526478815724039,0.588368411488783,1.69901633942241,1.03651877021867,1.89826716355649,0.341656970243582,1.08005998925853,0.310730925943799,-1.85140487465148,0.910546992936165,1.09734174321383,0.499468921886756,0.145186231460117,1.00216504707148,-1.22789019087944,1.86470563489212,1.75081513006685,-1.81136328362966,-0.227135660159175,-0.600742166450364,-1.20524884665273,0.79442857460365,1.4115678016087,-1.82872090512823,-2.98082463295105,-1.00376506295476,3.08799272565899,0.496591192603396,-0.201982727384612,2.03662344489701,-1.30930849572502,1.42958589273881,0.611165370333737,1.62972258362004,0.40243843566428,3.21154981549513,0.0509183586690993,2.78449460728648
1,-2.38254478519247,1.66056175149298,-0.444583575367431,-0.898957718686063,0.493690540147894,0.465044826904377,0.617826685801413,2.83923279378263,1.09476693123658,1.17283001857388,0.800258837351334,-1.2800822952713,-0.0970900347838184,-0.326522805450128,2.69229617582053,-0.248108843412976,0.454454375661057,1.31190728240453,-0.49184284866829,-1.73030984793298,-0.627180020850045,-1.88030382219839,-0.194578500519211,-1.00013085121718,0.133753613838402,0.468862615569599,-0.513695160414748,-3.27001643141337,-0.0518527154093119,0.286796946267126,0.525433818395913,-0.948264903290992,-1.44600929144065,1.81334052382277,-1.88090079071796,0.41483315257256,1.51672153393798,-0.059926526577083,-0.800861863228034,-1.0420950711784,2.1497380792518,1.84317517476831,0.232835502237437,0.230561142254304,1.85366433065456
3,0.0677182123849054,1.24619637661155,-1.70697524330213,-1.32235582460511,0.923938245068824,3.0505725289784,2.66472664479924,-0.469101813162439,2.73320976188401,3.05888159847229,0.990059111922272,1.51847513923558,1.00091591008218,1.45971080288247,-0.275802485354657,-0.979167346717871,1.67469365316314,0.905342127753206,-2.39625053301276,0.873917525565094,1.76766994338351,-0.293653746313737,1.74867174557457,1.16254703486665,-2.51179826886363,0.25875975074964,-1.79602214769626,-0.547216741813393,3.10812941368581,2.49287749736808,-1.12679955368277,-2.32232549094254,-1.5057860552607,4.36683933217173,1.09392395434505,0.573154743084588,1.76300317911276,-2.21160106866501,1.48105689260706,1.26063280231601,-0.104535635098747,1.07804641495845,0.955542911944622,0.996314602230309,1.46308369870139
5,-3.28192190911145,1.99912180239632,-3.12004971496804,-1.96806072798425,1.53915095341456,3.22178083962558,3.60751117839971,3.48510927364723,0.0688262956102248,2.86364020353796,2.37853795509676,3.60668688125768,3.12100952451995,1.70216664064325,2.06546712346485,-2.69871264136179,2.24938135133334,3.08691484462338,-1.01068430421699,-0.96210137266843,1.66016691365696,-2.5227808703723,2.63752254324672,2.13157856720343,-1.89716929138422,3.01452570948749,-1.28025715398166,-1.65495891899849,2.27618046898581,2.06148956891336,-2.51165325129416,-2.58523913731394,-2.07319008306279,3.82569603559906,0.541102029328663,2.92492077153269,2.83230240830035,-1.69775178289831,0.871883007492148,-0.538681697470893,2.28930105025566,1.80630679131768,1.9848649223751,2.32033885112595,0.984920036034694
8,-1.6886730651055,4.07639116406165,-2.71955403688848,-2.2628940955702,1.90222566066902,2.4624141120086,2.75481478845686,3.91234303441361,0.479440622673475,1.98108195037503,1.75065350480608,1.71936481354918,1.7462763677567,0.856504318152509,3.21402657545619,-0.920696594167497,2.34922135871432,1.31879690004924,-1.88217308094632,0.749553164954595,0.934269066502408,-1.88900986635581,3.22369691339223,2.14187468975036,-1.32756906019242,0.959852141302277,-0.894819829965011,-1.71340947707272,0.700298342053425,2.32386964172259,-1.32563990135239,-1.51607320207152,-2.42146128174678,3.43285610916306,-0.0646944929752178,1.89825260085701,1.36559963255132,-1.24122000836616,1.12991107047586,0.443781062471235,5.49668726050745,4.22350869939034,1.67909226021284,2.05313955485669,1.98176801413644
4,-0.769166143705564,0.864823862793206,-1.38945265344064,-2.10845826729443,0.399786873115718,2.17784977747143,2.08495149112802,1.15842004774346,0.227995186689483,2.42197926370191,0.699490385659646,0.0142249054653588,0.872740039915216,0.766412990723197,1.06560620483361,-0.10177808377119,1.25262764699776,1.49582598226146,-2.51331042577804,-2.45942772678587,-0.184146489218604,-0.740454351838,1.02092017728203,0.835485075817812,-2.27907593254075,1.25494012551431,-1.11862189271397,-2.82537464988985,1.88659695712187,2.47042067604216,-0.628422821312718,-0.919638496211391,-0.643326557541392,4.3350968903284,0.0143800259013394,0.950811312254252,1.37891770225764,-1.85926455105838,1.18360242848257,-1.31898165310903,2.61021854933092,0.729580053917055,0.818515839425727,1.06307221979627,2.00348821237552
