target,aceB,asnA,atpD,atpG,b1191,b1583,b1963,cchB,cspA,cspG,dnaG,dnaJ,dnaK,eutG,fixC,flgD,folK,ftsJ,gltA,hupB,ibpB,icdA,lacA,lacY,lacZ,lpdA,mopB,nmpC,nuoM,pspA,pspB,sucD,tnaA,yaeM,yceP,ycgX,yecO,yedE,yfaD,yfiA,ygbD,ygcE,yhdM,yheI,yjbO
2,-0.625737045583044,0.33930784166577,-1.89766586113757,-2.40677503989157,0.599911144906759,1.84804733142645,1.89112689517308,1.26100698282444,-1.0394045139182,1.16920321369565,0.877362100713955,1.69337686411688,0.092813120719661,0.900677260778802,0.136080859516489,-0.651074412622121,0.849417685456968,0.342713073049784,-1.39934848803612,-2.81819863936727,1.37338677082049,-0.411722134006625,-0.490919820062887,-0.708122275411376,-1.08151911303496,-0.425423586551176,0.0395231826996403,0.479533859287655,-2.0807045471751,0.524712746100231,-0.174243696879768,-1.60869647851025,-0.804081347346083,-1.07488109382576,0.82539390322918,1.39234493004819,1.38094785418473,-0.851845652436004,0.531600930462858,-2.68151273933006,2.49545413512156,0.0126903272055805,1.32749085460058,1.0646712312923,1.41175477677814
4,-0.758845299496459,1.29852157605644,-1.36782477922968,-1.04786482006921,0.707228296243953,1.3466762073719,2.21705145975239,3.34605523782273,2.36870241795877,2.97273972554429,0.669303143067752,2.34025550650379,1.16431386255053,0.81058993335469,0.767386249631119,-0.863814175725635,1.49444463592284,2.23414905784422,-0.43589548438415,-0.683152919135629,0.970801711325794,-0.637335708052302,3.66050778910652,3.37084916320634,3.73110798393886,-1.63497902678436,2.30652274224063,-0.600791516383425,-0.786209130346948,1.21376132783783,1.76274141878076,-1.87611369141155,-1.14454941831358,5.58518627964486,0.204863160081735,1.09903723339614,1.64709831182771,-1.5583519352102,0.605507518874222,0.463697437144347,2.03400385202731,0.911441372753328,0.957054641880499,0.583548476424015,3.13768968821324
3,-1.83795215769505,1.52653405029786,-1.49702167339177,-1.10289912473844,1.62234246683113,2.31263470983373,-0.419440244930353,1.90544562883724,-0.783839422546538,3.97996346269949,-0.957511255029552,1.40378905020698,-1.40669802320785,1.85577036110659,1.63963269933543,-1.23301439163485,-0.194688827051245,0.175850096502817,-1.82073104648146,-2.32712288636825,2.42817499699255,-1.65641446893234,1.53030561761828,0.903154100877366,2.74691503540727,-3.26238150849824,-1.093559170516,-3.17297995246365,-0.990005263120705,3.3074832163115,3.71504048234919,-1.5169125497025,-1.51819622225519,6.84123944958485,1.76430738777525,-1.59262222088844,2.17639820087098,-3.07653553043769,2.63058980206205,-1.53565539867775,2.7106216139271,1.56671328680231,1.4666674984964,-0.730226081393003,3.66430177955457
1,-3.04972241744884,3.20262621796646,-3.18658227711834,-2.23425707428284,2.70346492988212,3.12047340083771,3.44058058281946,1.23802202226304,1.05608134887709,1.93825233126004,2.57205374303435,2.40127592500259,3.10409955707876,1.40994539314067,2.09129969222775,-2.18114934211758,3.21024972946398,4.10406637009063,-1.80438586355615,-0.55511464797283,1.70976625899543,-2.90675718502496,-0.867739656560816,-1.82312927850926,0.786758198201182,-0.96312480607299,3.17312071358858,-0.547375882649247,-2.2568307529292,-0.0453945378122736,1.49857557886471,-2.40302100108042,-3.30440933193997,4.65123191089862,1.33429955955268,3.14733867301491,1.2305299733044,-0.530953768295329,1.4902869503658,-0.0866662864460922,3.85210763131686,3.99280014053532,1.72917846007176,2.80652015285053,1.46300539624026
1,-2.37351163089529,2.27410460160747,-2.74109382111499,-2.54287886373473,2.16749587114755,2.48076735895497,2.97159285588891,3.67320305675327,0.955244557797401,2.88974222551404,0.460375297975315,3.29205877038849,2.11803574755051,2.32348208094645,5.11782071885674,-2.86902791226813,2.51157752864815,2.64758540450188,-1.33401966066563,-1.72081597066676,2.81725109981056,-2.01802337490611,1.83543908831489,1.05061222644117,1.70781430462473,-2.55345063317142,1.55625794051453,-1.79058297003933,-0.878335789561888,2.05301895916807,2.62268622145505,-2.15291022741087,-3.12639954386976,4.46409595533432,0.257085517640913,1.34749031279059,2.34286628331202,-2.10529702243593,1.55828850419802,-1.10437932956496,4.30097191133782,2.48243014111806,2.23323633819494,2.08047532574162,2.12652723614392
4,-2.28024097494412,1.66330996667568,-1.7073054085667,-1.15316705011154,0.940141920525585,0.82521791822054,2.16489807154771,1.13715851202339,0.309147574162556,1.93264556884691,0.733500124750935,2.00047436077535,1.33977267737557,1.25138962656435,1.87664921113365,-0.783842663164516,1.23451813805758,0.45885133123361,-1.52223275216349,-1.79301974722431,0.477746217046068,-2.33542811671698,1.59834629226838,1.31186244596516,1.77182715668698,-1.20569055742444,0.646593565719701,-1.94938627961654,-0.478848747071755,2.0767417235324,2.00281375058553,-1.81138947236647,-1.14533656365861,4.0371717580674,0.536972160383716,0.87379628967305,2.09037167263461,-1.3162603007573,0.723418725764022,-1.06146595430881,1.99844349672948,1.47450014212734,0.919064821087672,0.725288084799894,0.0127239443148703
5,-1.16208460103706,-0.537475115928357,0.19884427826447,-2.37325169987352,0.200759791321458,3.43716516060711,-1.21613122905017,-0.0854453368724566,-0.113707963557942,4.68503517750193,-1.30499802098209,0.603704500988923,-2.3008332235091,1.66160778085678,0.155334786873733,-0.727770887575579,-1.19588231341067,-2.68896723782862,-2.03732479556946,0.0786677137445953,1.83624274849678,-1.08953725157258,4.70647562422209,4.35279474532274,5.2637048464513,-3.06099012198538,-3.11602989048259,-2.13552698754409,-0.570577895952227,3.0413053462399,4.93956988761089,-1.47261527778362,-0.520313062352571,8.11827004806609,1.10947497514134,-1.82052447066719,4.06423801785149,-3.28409107352893,2.03101085302965,-0.137160243494962,0.961812136748243,-0.320484907258906,2.14583313778922,-1.86559045091259,3.50846270423311
6,-0.0406944230277418,-0.872615436440744,-0.184743579320339,-2.37690793407571,-0.334054228642918,2.32894503996413,-1.12741963563719,0.885971194554228,0.234705825775994,1.93245354996468,-1.39418369038925,2.11956401833192,-2.05095558488653,1.16921792801727,-0.552488837317405,-1.19088255210274,-0.289727488443229,-0.980845566362823,-0.713099033820883,-2.4440727702216,2.24190980241973,-0.0307044026053443,-2.10646148658617,-1.89356558205265,-1.90295504585958,-2.50991153854355,-1.6378305628667,-0.764373093061634,-2.76422677162816,2.54952519070154,2.86517314584392,-0.214930695072566,-0.330454865132547,4.28109736303973,1.1736508106205,-1.84372337905266,1.45027896519729,-2.54367336435944,0.615659898373164,-1.52615259790967,1.27199760922115,-0.80656192753539,0.204216799114316,-1.43347955157821,0.648599724038368
8,-2.3439937848944,2.36442504221095,-2.48109529854017,-0.76776455594649,1.24628847496522,1.3931833682856,1.66218655284997,-0.711371333014564,0.687934616122942,3.45547713910971,1.34498285187068,0.724726136809181,0.741693515800531,0.635433643421769,-0.497767425921118,0.160319052769361,1.09492103568268,0.816829408368591,-1.35773131266647,-1.42487542742603,1.82459826859498,-2.11948233252084,1.74475884029294,0.61662349612772,2.17642035975578,-3.28215369479692,0.469801151019051,-2.97917033722383,-1.37577954690774,3.25387816128509,4.28203712205352,0.0550972929250337,-1.09128249026444,5.08335955640062,0.105915608660191,1.76604142816513,3.3808913588353,-3.09022937050509,0.986673837955784,-0.581578276046716,0.942893885535057,2.6926679948556,0.583930318261001,1.05254510007262,2.66025960388589
4,-0.43499451643458,0.321261142020495,-0.472219815677919,-1.7025503430443,0.83896352391832,0.31016557772281,0.955380412303717,-0.0932185441729204,-0.678143284740363,2.28321800059122,0.512212619932489,2.88179136353794,0.0684949088312367,1.56180199786129,-1.18762955407515,-2.53716346527766,0.534210558435924,0.699564660467182,-1.89099921423137,-2.94810718575993,1.63151966121167,-0.996327123174119,2.80936685810296,3.12784677898843,2.18159283257779,-1.55223855240022,0.651151323211976,-0.895015737080522,0.101103328684442,1.38430456034305,1.85589263126546,-1.83513314721115,-0.838909465533949,4.00093685325655,1.40175534660005,0.966866966758362,1.72437132838846,-1.36334867892652,0.874246851071762,-1.63301753868316,0.390532671071311,0.0759734435347941,-0.237535462692325,0.430568545326379,4.00151311093774
