target,aceB,asnA,atpG,b1191,b1583,b1963,cchB,cspA,cspG,dnaG,dnaJ,dnaK,eutG,fixC,flgD,folK,ftsJ,gltA,hupB,ibpB,icdA,lacA,lacY,lacZ,lpdA,mopB,nmpC,nuoM,pspA,pspB,sucA,sucD,tnaA,yaeM,yceP,ycgX,yecO,yedE,yfaD,yfiA,ygbD,ygcE,yhdM,yheI,yjbO
1,-1.83043703481396,2.97440608799937,-1.26182497869123,1.68405535793743,1.94039270438897,3.04448340334478,0.829520164140711,0.114726554407928,2.22502643049174,2.40727871995471,0.746102441987845,1.90650081577625,0.844662841556897,0.489142055705268,-0.246526890475777,3.07863646903343,2.01035753174793,-1.22884469382952,-0.270743275436237,1.4764932561658,-2.02325058944167,2.14384400423827,0.96168611928059,3.27260105231005,-2.96009635750618,1.86296553549763,-1.8097626856993,-2.20101475175893,2.25254406783718,2.76284325203474,-0.596181067979882,-1.06274515249145,-1.20773599391522,3.6846774800813,1.442438644164,3.13325414409328,2.51107127975499,-2.5663490758337,1.20899150672026,-0.431070765590801,2.9772747612174,3.63221327881128,-0.41287321502375,2.34460791286948,1.91306015312601
3,-2.34727662041514,2.6295812684467,-1.86422104067272,1.37419104472554,-0.190316776700422,3.77847046352652,2.60756398309889,0.285474331569858,2.67000145033054,1.51968245877452,0.814630546982319,1.31254837886062,1.8105977956532,1.80923118945194,-1.8473775110116,1.74786746622036,2.11896681655399,-0.857221924177666,-2.1591019198285,1.83443563882598,-2.47034764630087,1.98505766721564,1.449923764803,1.86562043169327,-2.59370741028372,1.70842641694842,-0.831215902566598,-1.35136418745915,2.15423182699997,4.24679121245901,-1.73309844010161,-1.41601512783451,-2.04975564528323,4.69752823364784,1.25560437959654,1.69884054134085,2.70309309089403,-2.6259833786615,1.28973550133429,-1.27856727314549,2.05848918105405,2.67916877044616,1.42451256818085,1.64715509443945,0.366253689646501
2,-1.51469635334411,2.58081849268764,-2.25237314200601,1.57416035227042,2.40026736149696,3.7448584650429,1.55194575567526,-0.432807500955919,2.47663773626321,2.50610997830483,1.37549631604841,2.59179287574946,1.22266024030351,0.669544121469941,-0.27881676436982,2.4935296529215,2.85107179014223,-1.05325246028215,-1.07752030690927,1.63005936977211,-1.65488304137291,3.81463749825636,3.24132548782228,3.71563374373919,-1.70773785788816,1.96330702902862,-1.21381755275523,0.746105198002279,1.75724963249684,1.84861792758462,-1.03516907156001,-1.77840195596275,-1.36685770209839,4.86157570132832,1.36706803388581,2.91590396200264,2.09481568468396,-1.33690189473535,1.46904493484109,-0.764235411439371,3.03530174525983,2.34436368721101,1.09674665719234,2.71737860811507,4.205747629064
9,-0.397915962073984,0.0504252106071978,-2.91264318278386,0.622273743389135,0.191352777930593,-0.877531120927255,0.967861668129379,-1.35575295452348,1.17467691106967,-1.10289887634194,2.84321466498372,-0.807445687278242,1.92732365169912,1.0189294042805,-1.33013538190895,-0.248976219490846,0.951624471337413,-0.609021380559027,-3.72869635925802,1.80380131926123,-0.209539576029323,-2.37044051763196,-2.20758186127889,-0.794688879139067,-0.472998023425358,-0.106881764369474,-0.445266540187922,-3.56584928131842,0.378106698486243,0.873559636622846,-2.49784512988073,-0.990087995216542,-1.41986960897721,2.02731308083206,1.87182285292968,-0.648455821179932,1.13206597993717,-0.725765309304979,1.46471078008903,-2.94761884382718,2.86286701050847,-0.420334449262184,2.39030989605661,-0.676287794537604,2.24503099416975
7,-1.15772594180042,2.26905330129445,-3.39644023173425,1.25691375049952,1.86654134541221,1.0095569756356,3.26150348864033,0.0488222457616803,1.64907409154415,-0.13100644844957,0.944929785003486,0.919747398083306,2.14247078398553,2.23550621283172,-2.96012493117423,0.986794156316046,1.40588819580649,-1.66994322516993,-2.68156781935129,2.55501855740788,-1.37780443065983,0.363530068086283,0.327456343405753,0.812542139319872,0.409609500110402,0.636373742423697,0.479643170726958,-0.508268740858551,-0.173951977207285,-0.0197683534173856,-1.6701803170398,-2.01540883025717,-1.81460002244164,2.6969442876601,1.57592753138023,0.128464423207935,1.7481597455878,0.460072516981284,1.98638258866061,-1.75806840952129,2.91414465924495,2.3216115389302,0.507074020174312,0.378092827384331,3.63370190237711
2,-2.68594552057563,2.8033358518956,-1.8458474688208,2.13249595801827,-0.231560007608574,4.5880393933121,1.09379466400746,0.263219725760026,2.19841797157883,1.92415138956634,3.30359712147935,1.67436470691623,1.07877400614838,-0.04590346330879,-1.84036677718375,1.90730308687266,1.37168645857712,0.155807727323879,1.4142069780548,1.26128681353436,-2.13348593466723,-0.841032410943303,-1.74708713534199,-1.84576650306846,-1.25938485103972,1.15188607748948,-1.10702452177856,-2.37828516989335,1.99424949703618,2.71130622564101,-2.60225118196968,-1.5516248265622,-1.91524090599476,1.89215832629481,-0.101558609646992,1.91147706653368,2.03699549785547,-1.67400998230914,1.11640254205338,1.00756799489845,2.15569321447069,2.95307187720073,2.01483374302996,1.90876819927051,0.193824875880669
5,-0.492035930626221,0.421475749477747,-2.31850664980482,-0.108782169943928,2.93381444858311,1.5289240615447,0.573969276236281,-2.11162142342984,2.9372143260125,0.565240477377359,0.898068628681181,0.544873333214032,1.46153843697275,0.111085454704423,-1.1745668843693,0.538263696719566,1.75270959595854,-3.02461572274868,-2.15844222410044,1.73777719350786,-0.226435856057209,0.828728121248486,0.77695726281813,1.02722328435111,-1.23340794628695,1.01665219038461,-0.553425794226818,-2.07437762500276,0.631654860055104,1.78733613975817,-1.78532436374189,-0.968262925202323,-0.813415178948098,3.39058787582465,1.48476714920162,1.02420386281944,2.88716263406427,-1.2071095518679,1.08480453156887,-2.26262934964675,-0.272323700065229,0.0337667542415354,1.56552146082766,1.0577472794213,1.79479495392156
4,-3.16252572614974,2.49463119344026,-1.96056448437618,1.22932414762808,2.71958496311521,2.07873894414531,0.771381511862887,-0.740567898807003,2.52836262558923,1.46887613650543,-0.288364785848719,0.631497480472825,1.63624173147252,-0.0101464578052199,-0.218149152686313,1.35265091647935,0.727312314069772,-2.31139128335931,-1.99719325763871,1.84059978005258,-2.94970641956111,0.770635751507491,-0.0051762684257483,1.38920391339457,-2.00980069956894,0.438490180211836,-1.24531988958064,-1.2744778488282,2.34981222696631,3.03226432470913,-1.06898852641069,-0.924857455064953,-1.13240926761916,4.2204495927373,1.40146336279818,1.70837114105764,3.25481893759845,-1.69464353440638,1.15977122175846,-1.15237711703092,1.50136512855005,2.86871907211718,-0.225252219214593,1.25731292347671,0.679326941268949
0,-4.01865213469356,3.48209915817251,-1.50106902579735,2.57276028736832,2.64226367205384,3.62231435041789,3.48006999493601,-0.169219145945664,2.07095565224125,2.17209490261566,0.50144620895173,2.2593131868951,1.10465354807318,3.93413490109714,-0.819104218385486,2.25219275879939,3.31646530502393,-1.55881537218284,-1.43588979045033,1.34500954875781,-4.00808408452533,1.29495466571087,0.40773539179326,2.03071061608662,-2.19597718813565,2.18160273397941,-1.21671070431775,-1.99487543534138,2.42376506160618,1.33549139772058,-1.81100423718227,-1.91806243759402,-3.29811146421606,3.36588629926282,-0.297267434384245,2.44407556124203,2.93118839852599,-1.6658892241503,1.72095784579123,-1.05549633384717,2.86859460291412,4.26073119683797,2.26613017244915,2.11527956129603,0.138437466632117
4,-2.26674422292953,2.65003213648406,-2.2985812559288,2.30712021790399,0.950636857238765,1.39996446352791,2.28912674818913,-1.1334122026413,1.99478139842598,0.419031897268746,1.23299621757286,0.951763827268775,1.37737562010194,1.07744877902371,-0.86991089187395,0.543877191926839,0.922640815213971,-2.81781572383032,-3.51869818319073,1.76980216321158,-2.28506755437702,4.47888729437826,4.53035877451421,4.77832820288106,-1.47466235942222,0.509333475817477,-1.19324834171318,0.743928242475648,1.8243960828532,2.34426604325962,-2.45351890541795,-1.48006834682946,-1.83786160356334,2.68264154229721,1.53211021800938,0.628749543081716,1.3164606649394,-1.35301399386683,1.54949518193558,-2.78150056936987,1.85863026859561,3.0222843155792,0.99930925531218,0.560809815102997,1.99032817974704
