target,aceB,asnA,atpD,atpG,b1191,b1583,b1963,cchB,cspG,dnaG,dnaJ,dnaK,eutG,fixC,flgD,folK,ftsJ,gltA,hupB,ibpB,icdA,lacA,lacY,lacZ,lpdA,mopB,nmpC,nuoM,pspA,pspB,sucA,sucD,tnaA,yaeM,yceP,ycgX,yecO,yedE,yfaD,yfiA,ygbD,ygcE,yhdM,yheI,yjbO
7,-2.0108148205084,2.30928497672595,-2.41167684506034,-4.06118660682767,2.04231834249171,0.799976239773675,2.57060933790082,2.70771924756363,3.04254962155045,1.17499384842081,2.06939830733817,1.27701703276179,2.69713582079681,3.23529291617372,-2.29165067171649,1.65886505615411,1.70794966831899,-1.04927379322848,0.0271254821568808,3.70392597898012,-1.98666621783894,2.74688855133889,2.32797287541779,3.11430271968106,-1.2460365358583,1.40988112387196,-0.278197568658532,0.437364300406781,1.61891073698865,2.95293847242757,-2.25729685791485,-2.84960837897716,-2.76849341648106,5.62387679514502,2.32806368379112,1.53687892389258,1.98279136654411,-1.91986853983475,2.26676233913281,0.29649027821364,5.38962556441838,2.84629080326907,1.50625706583765,1.68668543909336,1.05337398144716
7,-2.9721550020943,2.81700656190141,-3.00096575558204,-0.703024266740874,1.72978952782857,3.97126348946068,3.20082408486445,0.303962965506293,0.869083588034169,2.17243127551371,0.148420246516423,1.60787709852444,0.59733623299446,0.68738407011729,0.430940313644757,2.75035573620616,1.23819711134898,-0.0770706465614726,-2.26384004585546,0.421964943625415,-2.81618342084612,-1.29320723148532,-2.13112113161213,-1.02958802781545,-1.35106284417394,0.599058748984515,-0.0574032338990879,-2.81631869668142,0.56242987069237,0.899330166734947,-0.627950643441959,-1.25503850641409,-1.58421125210796,2.72036714359293,0.349651141118339,2.92838129675935,1.09194032362368,-0.962004763773234,1.09018707954541,-1.22132762508434,1.40574163109309,3.39488845420381,0.586948857413088,1.86439491145458,0.595569547643064
2,-1.71425044690079,1.57910904160323,-0.247499734583507,-0.360447341812513,0.868438265317469,1.15138533981922,0.799745791399896,1.64272961922232,-0.0107766196246382,-0.0349678604661766,0.265452029094934,-0.528410475132144,1.20613911206082,1.682114457671,-1.16040338556762,0.471775046774481,0.0341570973238781,-1.09828680762974,-2.73126733590313,1.51457371950435,-1.51805089362694,0.351966681874964,0.35899482101665,1.54201846067995,-0.722553288195348,-0.734518313688958,0.380835334634373,-0.597173957595141,0.389690469992322,-1.10389141922485,-0.355227618913775,-1.79282959926044,-1.8145086698476,2.26310904530225,0.280784593921372,-0.138059568673969,0.238562808282136,-0.444238300651884,0.745355092401159,-1.92638929742073,1.37023962457259,1.78762105971775,1.63607375768142,0.0844771621390666,2.43433859113333
8,-1.67082229608787,2.23489457800246,-1.77537046279613,-1.89391399873058,0.933627160061029,3.38120243931155,1.16212487895782,3.07488146395012,2.09938792310717,0.204724837104741,-1.08560022686079,-0.538319245810441,0.766733216050714,2.20766087321145,0.438267211186338,1.39637589941179,0.523422861494886,-0.595154834549564,-0.067608052097747,1.23752874045136,-1.89060439958463,2.28163621925792,1.59121960793704,2.78237901981386,-2.95784241974092,-0.537127943782784,-0.502949401323037,-0.488888265277892,1.76447703016781,3.60022649054911,-0.425699891062536,-1.56320200668178,-1.80932634165419,5.25802569963843,-0.230030601786246,-0.167361253389148,1.58866769341444,-2.85016513252817,0.448542905595616,0.536255845131016,3.61220111965049,2.4064450623867,0.697542341431005,0.320232465294312,1.40820944159223
2,-1.76834150541227,2.1364242712021,-3.50156768268039,-0.489899253983222,1.58524313072487,0.709609334637955,3.29389453180621,2.381979395411,1.99773619389217,1.27128173041046,2.49755443705239,2.62983916749517,0.981013589648979,2.73844976544058,-1.68988973756403,2.44120422125501,3.43515750002451,-1.26171193926941,-2.88443501674673,1.09534572497855,-1.63348914852021,1.47778535115784,0.853352953225662,1.94369839288958,-1.41559699563319,2.43363886701431,-1.5092634821001,-1.40344027304465,2.17002462529391,1.36961439004613,-1.39030704549555,-0.643035949730733,-2.57969805648601,3.14610911740527,-0.0471370548860722,1.99002437087544,2.148285794407,-1.54360431312551,0.480926696858158,-1.74819435696149,3.11923879676842,2.87364471430718,1.27861818840306,2.36595207739741,1.06144800640233
6,-4.05745144452109,4.22861444549961,-3.44509592541278,2.75788943102939,2.0150796871346,-0.156891408055427,3.64126361675296,2.32502522492242,1.50671472542707,2.44020797891048,-1.7707408803689,2.467851537222,-0.565307186235825,1.98085564090833,1.5642972148443,2.75601528599938,1.80498165040636,1.22805030956997,-1.18983118070093,-0.887231999561653,-3.88197054426835,2.68255521322849,1.14151735632763,3.38926714219524,-1.35634215171313,1.62587307411557,0.0670335824656798,-0.426677778633344,1.9356439365717,1.33624920039208,2.29186469686901,1.4684042408202,-1.66447304617769,4.46454856719873,-1.45621400783297,3.10379465915659,1.24817549055149,-1.80592559586488,-1.22730877058769,-0.360513659806704,2.22765622688362,5.15189338072916,-1.50950065433811,2.6233505218212,1.20261474720464
9,-2.70622225139663,4.677877775322,-2.43314403507951,-0.30281422272119,1.60555778327059,1.17786453723882,2.60576093049937,0.922405712435206,1.8206934717009,1.55895761210197,-1.07906370664535,2.56160768374054,-0.815292070505063,0.624009663657016,0.688836603827243,2.01326369128329,3.46005648659383,-2.00374138018389,1.2164717822893,-2.38911941046969,-2.48569188306108,2.7155211288829,0.55925400098604,2.96258301851395,-1.93017009978427,2.91702914541869,-0.894260019806525,-2.23572333684845,1.37433344611765,0.752585642116591,1.63983714969494,0.244566692181006,-1.23873179396749,4.29424744924157,-2.0054247063744,2.33548298675432,0.877410074744303,-1.32258768319006,-1.26203484547981,0.838491750559593,1.47697621572598,4.78279180441826,-1.43507323027964,1.85109102653499,0.789193574658111
6,-3.31604947021251,4.45278623258681,-4.31008829719676,-0.884434874621691,2.34470432074901,0.388297570803114,2.21889698832542,2.59521758525654,3.38748138037869,2.41330897694308,-1.5952272719005,3.23098518993895,-0.749979451188253,3.14128048015843,-0.503443031279319,2.79691970831492,2.57058544126177,-1.5666989069326,-2.61856938858262,-3.90169872445037,-3.46152025204194,4.38220087376429,2.44341672329481,5.3769880078006,-1.85323301940875,2.39282367285397,-3.0077504910878,-0.34492038120752,2.48227648959622,2.91388732273108,0.895844265649183,1.57583070904109,-2.16312729561481,6.00921088648062,-2.60090300548151,2.72137698907731,4.0135086069079,-1.89327514979347,-0.978643015506893,-1.26828346407394,4.75787034202595,5.21401149455442,-1.98762246126498,2.61378995534622,-2.19051412159625
3,-1.69140916274021,1.16372068100086,-1.22585657560667,-0.411247077177461,0.538941528848665,2.38957439487854,1.44870639963629,2.19498367782954,1.82443109235266,0.652117172703386,0.153891074055672,0.0463134707249788,-0.37202828329724,1.16798942214877,-0.984240450469283,0.560435919808204,1.05006059073912,-1.38940634567942,-2.20195326776089,-0.790683294112169,-1.69462829297769,1.53912509385102,0.46333255097641,2.52798032736008,-2.38190060012866,0.308110485524008,-1.71805395058906,-2.43903995514225,1.70492916214205,1.3683968409191,-0.469902571082468,-0.929612199719845,-0.612949531109788,4.74982295378336,-1.00826377863111,-0.080399188662587,2.67445041331819,-1.60676379627839,0.0918464751123861,-1.68946372795456,3.26804620471461,0.976784396955586,0.527253358233058,0.470620174067418,1.89396582288265
2,-1.07562984036897,1.67258869644487,-2.74924325305513,-2.44358129147481,1.11025437818827,-0.475475234890651,2.96623463549025,2.85838912844543,1.75927760568319,1.81217962545775,1.64280036651956,1.52579866459023,0.917726167885137,1.16344059269279,0.0539178457632865,2.65475652094707,1.50610120043445,-0.7051107149764,-2.86648439854172,0.0048828949806584,-1.00410965327967,1.07117424732446,0.403318307776257,1.1521857154715,-1.58305893831374,0.795196499175328,-0.309357417364163,-2.4021309505836,1.70961306843204,2.76532687548653,-0.890466088520255,-0.279587959156478,-1.4495764689436,4.27926761080309,0.795035278085157,2.38104772353419,1.72790249447483,-1.4766241619139,0.736309005094023,-2.28755375474443,2.01341315528974,1.80805749928222,1.24898822478339,1.76263936732701,2.18060317410593
