target,aceB,asnA,atpD,atpG,b1191,b1583,b1963,cchB,cspA,cspG,dnaG,dnaJ,dnaK,eutG,fixC,flgD,folK,ftsJ,gltA,hupB,ibpB,icdA,lacA,lacY,lacZ,lpdA,mopB,nmpC,nuoM,pspA,sucA,sucD,tnaA,yaeM,yceP,ycgX,yecO,yedE,yfaD,yfiA,ygbD,ygcE,yhdM,yheI,yjbO
1,-0.827455383091184,1.43815250314481,-1.70303576024227,-3.37482119665166,1.02549775193652,2.59763776495315,2.37289404045187,2.7150438433278,-2.27308879799269,1.45148038727281,0.855526987240921,3.0821364416459,1.71861230933309,2.8291250934268,2.33397147648993,-3.06160738632724,2.12096518664433,2.12143431602379,-1.94522454827119,-5.31062924290731,4.46363936831375,-0.878559524768369,0.379144795866516,0.614798988541234,0.702185798004707,-0.157679259898936,1.93315093155015,-0.0146355055599916,-2.22719928636844,0.674010899883086,-2.88721964571507,-2.55141180032872,-2.35258312735663,2.86954093687158,2.25083480594543,0.45965713841364,2.05818243824242,-0.629582670444414,2.00726691612591,-4.13179971175807,2.41106454473555,1.13200170492504,2.81278614157763,1.14701926676726,1.39594410176213
2,0.278743747783105,1.09254904459495,-1.38801050879283,0.161486602613796,-0.541547345447295,2.62049134858642,1.26103486945557,2.05425148104904,0.432627117535463,2.41695955679674,-0.104413372232891,1.32034151533964,-0.57907773621973,1.03760600204628,0.790822835536456,0.336706258970012,0.885958074242565,-0.390158874943718,-1.00380923776336,-0.179100376393776,0.807375875092277,0.160767748239596,2.70013305480754,2.11849451172004,3.85011098132328,-0.86979724099574,-1.2006767202726,0.683962049848711,-1.69507128684722,0.0912049388976061,-0.69328860052004,-0.760952957454664,-0.576340850329051,3.03713008505739,0.190661329552414,0.763152517888489,2.34454762772203,-0.69799575422885,0.8252004614301,-0.397347776625838,1.47884608470764,0.620174060694925,0.0101767623366829,0.586601882943877,1.92235948959917
5,-3.62318092639588,5.06158227195048,-4.50163062010504,-1.4468115832779,2.67670140021669,3.87981596746342,4.60103195445533,2.98223674250888,1.26009418496243,2.11865061877783,2.92426432777933,0.51601841506489,2.29418530666159,0.768006443855765,3.98620028494595,-0.612199975923908,2.93634151759711,2.48501505494776,-1.32779035165344,-1.59736430331219,0.607579480224922,-3.07062801654878,1.79262935862855,0.46304878920454,2.19777971735819,-1.38280158779648,2.2145511652538,-0.151637008921555,-2.50291278141454,1.47040599814906,-0.84138547839619,-0.369539269673825,-3.36804154355509,4.97256402348912,-0.261375359707011,2.83910898301821,0.718356317927181,-1.57398157550238,0.412987403259332,-0.587984012236346,4.02424045169915,5.44583303443208,1.65367147996069,3.31147514821336,2.7085782408066
4,0.215793190164565,0.607982925418995,-1.49283780474058,-1.91824956036989,0.936443023795952,2.25633654441175,1.31268065327966,2.89838324966342,-1.02940533007472,3.25004574289361,0.0044769012014282,0.570967694790752,0.117649776086429,1.95053324121304,2.07443322891164,-2.42747610920655,0.533146542678096,0.2314839434504,-0.737805455788585,-2.59816248834806,3.19824843043779,0.0849484523429814,4.05240271691136,3.99910671453932,4.19727383612129,-0.985514238510528,0.283751357927532,-0.521120340078801,1.16416206990499,1.38079494494137,-1.60637938093224,-0.854364028739759,-2.10339477383425,5.62538505892449,1.11172026567186,-0.295331737162275,2.93447732867597,-1.0720597948453,1.32148972196359,-1.77018276284663,1.67388432627192,0.336200152456932,0.55850031215898,0.36634833689245,0.855680101809089
7,-0.957344674330127,0.376772290103819,-1.57019267174602,-4.40076608637671,1.70547497077381,3.26873221330008,1.32498833333914,2.14460500743159,-1.46068704831033,2.81546641155935,0.308270316124713,3.68959116333496,-0.287174666538207,2.89092534026958,1.87554254751784,-3.95867669834052,0.164807077633715,0.43359801467563,-2.17814838777398,-3.28659098428118,3.97189376202456,-1.23987278440441,0.607487497638537,0.611747990191236,1.17616273989096,-2.16762744410912,-0.298348422717357,-2.18505254997965,-0.0262806087429965,1.86251237010311,-4.19878085495762,-3.11966162607585,-2.02166146567219,5.31002671686136,2.30984286439745,-0.756035094273427,2.40482278558025,-2.44936688503044,2.726993430184,-2.78294452957394,2.71026094389602,0.0602297360739428,4.41179581096577,0.315425709492459,2.40016142869921
1,-2.55373531367566,4.02737545521265,-5.14008424478329,-2.3657998015458,2.2829848274155,0.999475090579442,4.88117703774529,-0.369122192603467,-2.17195496876404,0.518188591754093,4.74594664657537,-0.0986243324927089,4.5991409688888,0.249821589479647,-0.224070909228123,-2.02348950021765,3.66274476499287,3.53267468024696,-2.90460158116219,-5.12555076840939,0.0666077469164427,-2.44188897480197,1.75341519515327,0.520385006847098,1.04600363118305,-1.4097479473723,3.17597070006354,0.150032831127809,-2.47892350384076,0.974914160683006,-0.874121476825031,-1.32868392675394,-2.14499590996156,1.01372512388277,0.11450167126731,5.973715659574,0.858269133673839,-0.542429392917507,0.839026539229131,-3.57454268428766,-0.020220695312822,4.3870342183389,-0.118338094851898,4.25850942391011,2.46526284793318
8,-4.75190890076106,4.74287333977663,-4.84113110860333,-0.54068627499406,2.34578376924778,1.28329756357477,4.8032562096086,1.48987222933797,-1.06217513114415,3.20801158148317,3.72321022999798,1.27413304116209,3.778380235522,0.691906491209289,1.95082478994676,-0.0130366420714702,4.43789874367116,3.03365809677057,-1.4212562610124,-3.55469141563728,0.147534195195426,-5.19081128777641,1.56067154481235,-0.0053322016712491,1.94219060153309,-1.66901201521551,2.70273479046954,-0.493766765747286,-2.8778226348996,1.77081591692462,-0.712376409374959,-0.43934111602808,-2.30232575957415,4.56661242434023,0.0445157097180929,4.85193317264919,3.24130198510271,-2.0308273508626,-0.242437705384208,-2.33350752804069,2.95378967119197,5.63465957919118,-0.0978453415341444,4.14733944021886,0.563802682418827
7,-2.51404512739943,2.19751392163589,-1.79448189973004,-2.92110872698825,1.18215441598636,2.03969810475445,1.70929673475822,0.544164874169679,0.409232030508917,2.44928800357166,0.934970586952736,0.929230310815544,-0.518652352660573,1.25003158548478,-0.398591934340535,-1.63965667468484,1.24443762302136,-0.0614372607405047,-2.59123166051844,-1.61521781282807,1.87176065367561,-2.60885688181063,0.539526356097385,-0.0729985849793785,0.819416841515448,-2.05748590339198,-0.646692833399655,-1.05865472795417,-2.16769931986781,2.17862696884287,-1.54842045632927,-0.854853629856077,-1.18948578080546,4.70422510275581,1.19807196102271,1.056316964791,1.95512561335794,-2.08734944449727,0.99124150043958,-1.16110659665543,0.0567527863829919,2.75359443602959,2.29231209467393,0.211565511688299,2.09167551488439
8,-3.77201921586009,4.90635054047915,-3.7976636929016,0.407636061243455,1.93617720218208,1.4844853333982,3.75329527631617,2.44781490196779,0.922320856772964,3.04009707480817,2.1927934319433,-1.17046358835207,2.74612577096091,-0.942521426039875,3.22595208456015,0.285451479250999,3.11799628241806,2.61257364822269,-0.461157791165516,-1.38674435568499,-1.52644416820795,-3.76549006785739,3.42129615131093,1.17651706437956,4.27701220487935,-2.02229911612244,1.70680965384783,-1.32609154751105,-1.68070492235336,2.24355833554413,1.36540189383027,0.0399989661613533,-2.18340400113689,5.42930074663774,-2.5144520517732,2.68595378733827,2.40846694355359,-2.55911681898296,-1.30651489088799,-0.935611337510753,3.23675299367709,5.52386361574514,0.428706772248508,2.6084349942757,3.73814923193244
1,-0.549016073379149,0.881616646365219,0.740271997267633,-1.63583783114284,0.670644342173048,1.63312913414588,-0.553269533487866,0.112300736204907,2.68521215913835,2.00365076764824,-2.12789110525237,1.54042226158602,-2.97307513796478,0.982376110887107,1.4493892029283,-1.60239951249991,-0.394667286776628,-1.59605062899626,-1.41306013876037,1.30927761343753,1.20756057112389,-1.01859657922358,-2.9441891440457,-3.58522869760266,-1.44927601921907,-1.37795905657941,-2.49844236095707,-0.125629913812456,-4.26899391821619,0.848866332614214,-1.69180124235787,-1.80808711305985,-1.02792561247053,3.74429250486326,0.732980974802387,-2.53479085178792,1.03250846118867,-1.32491806266913,1.22176504924451,1.42175261568219,3.82576076227022,0.570317341307998,2.06643091975976,-1.75670859764834,4.36697713917648
