target,Acid,Anthoc,BunchN,GrapeW,NDVI06,NDVI08,pH,Polyph,Potass,SPAD06,SPAD08,SproutN,WoodW,Treatment_T1b,Treatment_T2a,Treatment_T2b,Treatment_T3a,Treatment_T3b,Treatment_T4a,Treatment_T4b,Treatment_T5a,Treatment_T5b,Treatment_T6a,Treatment_T6b,Treatment_T7a,Treatment_T7b,Treatment_T8a,Treatment_T8b
5,0.115856692318634,-0.0098467523336179,0.247144242584802,0.246180157344626,-0.0221285678655421,-0.109301946062009,-0.0611624887803934,-0.232744708775261,-0.215071410691704,-0.0588068312314311,-0.165879756387388,-0.0672465652484879,-0.601038995010498,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,0.0315629278240688,-0.318665150974611,0.187863950415271,0.69937072567627,-0.185220405751024,0.192154854551004,0.0177849719061942,-0.0954220847268323,-0.0684928231540862,-0.0269938435656854,0.0587608360623645,-0.0077094325415918,0.482367613733837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0433782107311726,-0.211913307835294,-0.031113179730591,0.563129639465305,-0.0526064153578405,0.0214959093671724,-0.0328030079901424,-0.264419896568771,0.0264601601439354,-0.159991634440547,-0.0081137797775791,0.208955400236167,0.195616134969662,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,-0.136067466276192,0.238355727581779,-0.709897359199462,-0.333561059598044,0.0777173501615425,0.2824346881068,0.0295855387771392,0.0169958013736493,0.101318404859263,0.0199908587615775,-0.0800136214920895,-0.1414715131109,0.172210754540387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,-0.276968923874133,0.320749307257722,0.0262953105028646,-0.0273044249136961,-0.017916718640044,0.015509801410573,0.0712642928687953,0.0502171961973527,0.181386813273666,0.0961566194087477,0.0029301176145178,-0.0903870722123488,-0.115443394768536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,-0.087614436790681,0.0376632184798113,0.158268814146601,-0.371901982559311,-0.0515069746258034,-0.0762895954412565,0.0021191904086963,-0.0960257810709594,0.0798943906187236,0.127864353511734,0.0024211705330881,0.0291326001429062,-0.0064661766016684,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.282215066853892,0.34927693704586,0.494822580724896,0.703541815534561,-0.0127823172023351,-0.102975187203621,0.0354107375142545,-0.00038818750058,-0.079923414905267,-0.0233481558530592,-0.062384986370023,-0.041585036994904,0.0187480604393789,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,-0.150951502972597,0.146554565385985,0.3397744072715,0.362055384709889,0.0507779615720914,0.230047780742545,0.0697334391013375,0.21397493895157,0.0302811490398894,0.0122275355445403,-0.018434171850213,0.143101856905825,0.088772685490135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,-0.0556010614335088,-0.289613689133691,0.0558427673952168,0.389863358694223,0.154854794066299,0.0916787697068494,0.0397867523208723,-0.212077461643914,-0.195429359320636,0.0842687705760413,0.0772655411770567,0.161652443087338,0.306384111478831,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,-0.160521781826324,0.232223361097707,0.0710227042959403,0.571281616776432,0.121073491856741,-0.0340471076889288,0.0188986052581343,0.158423383791009,-0.134869993446081,0.138256303602523,0.0992347055070616,0.129424403074258,-0.323055805198788,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,0.0402468790455301,0.439458254491287,-0.203057295848791,-0.331009600549151,-0.0022650417911391,-0.227534384327756,-0.0173940990312618,0.131185459574128,0.047944104415012,-0.0032559294747446,0.0291393524087965,-0.228001715320606,-0.247312949274016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0.226785274059157,0.456189854073849,0.416521958440061,0.8502565051891,0.0855271405968053,-0.0086612484462706,-0.0734440496875366,0.387605957990933,-0.302965355912447,-0.122792607124446,0.0598403062969714,-0.193026767475885,0.153462820312892,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0.347585033576725,0.886142982825916,0.0194962648600615,-1.17603651109377,-0.354139607584066,-0.2351071119229,-0.0772950323248435,0.300976085603632,-0.160318372339919,-0.261885548818822,-0.28485688175835,-0.263030667306772,-1.23493055329234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0.106386672360675,0.297860743968637,-0.452504786473162,-0.354159599676488,-0.0384338540526659,-0.127022850802195,-0.0286825959688683,0.149230844186796,0.0756021045137014,-0.0720127623233278,0.0088883923478233,-0.246062334785402,0.16962090603259,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.266782262620131,-0.979117019570511,0.678199926384797,1.06771037441586,0.0741782700333646,0.356905296913751,-0.0999313371083717,-0.671417133222159,-0.206730684275727,0.0166152419732744,0.126851988573196,0.149251268973021,0.84927267657534,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.433358776327708,-0.295772077347885,-0.0157473904821067,-0.49368742879298,-0.0619169329794922,-0.0418335969258289,-0.114875591280861,-0.0192135572820391,-0.162278760040337,-0.0607270864434498,-0.0693201678178641,-0.170231114415889,-0.700548838531273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0089640948892799,0.0958526984751333,-0.261674106362787,-0.0109888059124805,0.0158296519155097,-0.0213510187435626,0.0132839962569133,-0.184432842151195,-0.0179020192795968,-0.0151148168405038,-0.0353195999784137,-0.0232461244409192,0.480507405043727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,-0.09163530728106,-0.433896073739042,0.0018146044821126,0.446950364641404,0.121552489960098,0.0377392789656906,0.0024256952749601,-0.175701528566025,0.0801073296149674,0.079717770168293,0.0589865507122934,-0.266708921816443,0.352280578518373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.101097937475755,-0.188194247127008,-0.15315550717345,-0.235898981867903,0.0764005952150769,-0.102698613252972,0.0077791345887718,-0.282836762996112,0.0850067839761296,0.100975363155616,0.129413442867876,-0.277464517498276,0.0894223541297753,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.261231485748201,-0.355635910383784,-0.137208418137776,-0.343697418304508,0.0405677893672175,-0.127588018176966,-0.0395863517758123,-0.140477345971552,0.199917279346235,0.102170857428469,0.15817204738338,0.255923659034765,-0.291168018268638,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.201463343730134,0.0529312295123993,0.0191173902572048,-0.290270797736582,0.0375582408083641,-0.0158574799360795,-0.0846404113677333,-0.184757831316327,-0.0991125095589903,-0.204632620229759,0.0362031577130808,-0.248094062234326,-0.560208736115245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.0440714530859123,0.313787916715196,0.439789535675296,0.169148027950039,-0.0203033343425091,0.0288056303635043,0.027938644111512,-0.008808704706411,0.0390048437374107,0.165641522269468,0.155875969817731,0.339372537017478,0.729857184986698,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
